CARNE DE VACUNO,Vaca buey Carne grasa,214,19,0,15.3,0,Vaca buey Carne grasa
CARNE DE VACUNO,Vaca buey Carne Magra,126,20.9,0,4.7,0,Vaca buey Carne Magra
CARNE DE VACUNO,Vaca Buey aguja,149,19.3,0,7.4,0,Vaca Buey aguja
CARNE DE VACUNO,Vaca Buey Babilla,124,21.1,0,3.8,0,Vaca Buey Babilla
CARNE DE VACUNO,Vaca buey Extra Magra ?¿?,111,22,1.1,1.9,0,Vaca buey Extra Magra ?¿?
CARNE DE VACUNO,Vaca Buey contra,144,21.9,0,5.6,0,Vaca Buey contra
CARNE DE VACUNO,Vaca buey falda,247,19.9,0,18,0,Vaca buey falda
CARNE DE VACUNO,Vaca buey Lomo alto,233,18.6,0,17,0,Vaca buey Lomo alto
CARNE DE VACUNO,Vaca buey Lomo bajo,180,20.6,0,10.2,0,Vaca buey Lomo bajo
CARNE DE VACUNO,Vaca buey lomo magro alto,160,19.8,0,8.3,0,Vaca buey lomo magro alto
CARNE DE VACUNO,Vaca buey lomo magro bajo,142,21.5,0,5.5,0,Vaca buey lomo magro bajo
CARNE DE VACUNO,Vaca buey Morcillo,128,21.8,0,3.9,0,Vaca buey Morcillo
CARNE DE VACUNO,Vaca buey Redondo,132,21.8,0,4.3,0,Vaca buey Redondo
CARNE DE VACUNO,Vaca buey Solomillo,160,20.8,0,7.9,0,Vaca buey Solomillo
CARNE DE VACUNO,Vaca buey Tapa,127,22.8,0,3.3,0,Vaca buey Tapa
CARNE DE OVINO,Cordero carne grasa,364,13.5,0,34.5,0,Cordero carne grasa
CARNE DE OVINO,Cordero carne magra,118,20.4,0,3.4,0,Cordero carne magra
AVES Y CAZA,avestruz,92,26,0,0.9,0,avestruz
AVES Y CAZA,Carne de caballo,133,21.4,0,4.6,0,Carne de caballo
AVES Y CAZA,Ciervo,118,20.6,0,3.3,0,Ciervo
AVES Y CAZA,Ganso asado,319,29.3,0,22.4,0,Ganso asado
AVES Y CAZA,Higados de pollo,137,22.1,0,4.7,0,Higados de pollo
AVES Y CAZA,Jabali,114,19.5,0,3.4,0,Jabali
AVES Y CAZA,Menudillos de pollo crudo,124,17.9,1.8,4.5,0,Menudillos de pollo crudo
AVES Y CAZA,Menudillos de pollo fritos,277,32.5,4.4,13.5,0,Menudillos de pollo fritos
AVES Y CAZA,Mollejas de pollo,118,18.2,0.6,4.2,0,Mollejas de pollo
AVES Y CAZA,Mollejas de pollo cocidas,153,27.2,1.1,3.7,0,Mollejas de pollo cocidas
AVES Y CAZA,hamburguesas pavopollo,106,16.6,1.1,4,0,hamburguesas de pavopollo 90gr
AVES Y CAZA,filetes de pavo,439,25,0,0.5,0,filetes de pavo 80 gr
AVES Y CAZA,pechuga de pavo adobada,94,16.5,2.5,2,0,pechuga de pavo adobada 47gr
VISCERAS,Callos ,138,14.8,0,8.3,0,Callos 
VISCERAS,Higado de ternera,119,19.2,0,4.1,0,Higado de ternera
VISCERAS,Higado varios animales,123,20.2,0.2,4.6,0,Higado varios animales
VISCERAS,Riñones de cordero,98,16.5,0,3,0,Riñones de cordero
VISCERAS,Sangre de cerdo,80,18.5,0.1,0.1,0,Sangre de cerdo
VISCERAS,Sangre de vaca,77,17.8,0,0.1,0,Sangre de vaca
VISCERAS,Sesos de cordero,129,10.9,0,9.1,0,Sesos de cordero
EMBUTIDOS,Cecina,252,39,0,9.5,0,Cecina
EMBUTIDOS,Chistorra,490,12.7,7,45.7,0,Chistorra
EMBUTIDOS,Chorizo,380,15.5,5.9,32.7,0,Chorizo
EMBUTIDOS,Chorizo blanco,322,19.8,0,27,0,Chorizo blanco
EMBUTIDOS,Chorizo cerdo iberico,512,12.1,7,48.3,0,Chorizo cerdo iberico
EMBUTIDOS,Chorizo iberico extra ,423,14.6,5.7,37.9,0,Chorizo iberico extra 
EMBUTIDOS,Chorizo de pamplona,520,15,7.6,47.7,0,Chorizo de pamplona
EMBUTIDOS,Jamon curado,195,27.8,0.3,8.3,0,Jamon curado
EMBUTIDOS,Jamon pata negra,357,31.8,0,25.6,0,Jamon pata negra
EMBUTIDOS,pavo EMBUTIDO,105,24.12,0,0.99,0,pavo 13 gr loncha (dia) 
EMBUTIDOS,Jamon serrano,136,22,0,5.6,0,Jamon serrano 30gr
EMBUTIDOS,lacon al horno,147,21.4,1.2,6.8,0,lacon al horno
EMBUTIDOS,Lomo embuchado,191,29,0.8,8,0,"Lomo embuchado (dia)(7,5gr)"
EMBUTIDOS,Morcon,399,25,0,33.2,0,Morcon
EMBUTIDOS,Salchichon,376,26.7,0,30,0,Salchichon
EMBUTIDOS,Salchicho extra,407,19.8,6.6,33.5,0,Salchicho extra
PRODUCTOS CARNICOS,Butifarra catalana,249,17.7,0.4,19.6,0,Butifarra catalana
PRODUCTOS CARNICOS,Cabeza de jabali/cerdo,335,21.5,0,27.7,0,Cabeza de jabali/cerdo
PRODUCTOS CARNICOS,Chicharron,445,36.5,0,33.2,0,Chicharron
PRODUCTOS CARNICOS,Jamon cocido extra,114,18.6,1.8,3.6,0,Jamon cocido extra
PRODUCTOS CARNICOS,Jamon york,207,21.4,0,12.8,0,Jamon york
PRODUCTOS CARNICOS,Morcilla de arroz,390,4,11.5,36.5,0,Morcilla de arroz
PRODUCTOS CARNICOS,Morcilla de cebolla,473,8.7,16.6,41.4,0,Morcilla de cebolla
PRODUCTOS CARNICOS,Mortadela,349,12.4,0,32.8,0,Mortadela
PRODUCTOS CARNICOS,Foigras,319,14.2,0,28.6,0,Foigras
PRODUCTOS CARNICOS,Salami,525,17.8,0,49.7,0,Salami
PRODUCTOS CARNICOS,Salchicha frankfur,257,12.9,6.8,19.5,0,Salchi. frankfur 25gr peq-45gr grand
PRODUCTOS CARNICOS,frankfurt vaca,322,11.3,2.4,29.4,0,frankfurt vaca
PRODUCTOS CARNICOS,Salchichas frankfurt ligh,125,15,0.4,7.1,0,Salchichas frankfurt ligh
PRODUCTOS CARNICOS,Sobrasada,574,15.8,3.4,25.2,0,Sobrasada
PESCADOS BAJOS EN GRASA,Bacalao en salazon,290,62.8,0,2.4,0,Bacalao en salazon
PESCADOS BAJOS EN GRASA,congrio,123,19,1.4,4.6,0,congrio
PESCADOS BAJOS EN GRASA,Bacalao fresco,79,17.7,0,0.4,0,Bacalao fresco
PESCADOS BAJOS EN GRASA,Gallo,73,16,0,1,0,Gallo
PESCADOS BAJOS EN GRASA,Lenguado,87,17.5,0,1.4,0,Lenguado
PESCADOS BAJOS EN GRASA,Merluza,81,17.2,0,0.9,0,Merluza
PESCADOS BAJOS EN GRASA,palometa,125,20,0,5,0,palometa
PESCADOS BAJOS EN GRASA,Pescado blanco,75,16.9,0,0.8,0,Pescado blanco
PESCADOS BAJOS EN GRASA,Rape,70,14.9,0,0.7,0,Rape
PESCADOS BAJOS EN GRASA,rosada,73,16.5,0,0.5,0,rosada
PESCADOS BAJOS EN GRASA,Raya,99,20.5,0,1.3,0,Raya
PESCADOS BAJOS EN GRASA,Rodaballo,87,16.7,0,1.7,0,Rodaballo
PESCADOS SEMIGRASOS,Besugo,155,21.1,0,7.8,0,Besugo 125 gr
PESCADOS SEMIGRASOS,Cazon,82,18.7,0,0.7,0,Cazon
PESCADOS SEMIGRASOS,Dorada,141,18,0,16,0,Dorada
PESCADOS SEMIGRASOS,Lubina,95,19.8,0,1.8,0,Lubina
PESCADOS SEMIGRASOS,emperador,117,19.35,0,4.4,0,emperador
PESCADOS SEMIGRASOS,Mero,92,19.4,0,3.5,0,Mero
PESCADOS SEMIGRASOS,Pez espada,123,19.4,0,4.4,0,Pez espada
PESCADOS SEMIGRASOS,Salmonete,126,20.4,0,4.3,0,Salmonete
PESCADOS SEMIGRASOS,Trucha,108,19.5,0,2.7,0,Trucha
PESCADOS GRASOS,Anchoas en aceite,210,28.9,0,15,0,Anchoas en aceite 3gr
PESCADOS GRASOS,atun al natural,100,23,0,0.6,0,atun al natural 60 gr lata
PESCADOS GRASOS,Atun en aceite,290,23.8,0,8.2,0,Atun en aceite 40 GR ESCURRIDO
PESCADOS GRASOS,Atun fresco,232,21.5,0,15.5,0,Atun fresco
PESCADOS GRASOS,Boqueron ,107,18,0.5,2.3,0,Boqueron 
PESCADOS GRASOS,Caballa,156,23.2,0,11.3,0,Caballa
PESCADOS GRASOS,Salmon ahumado,142,25.4,0,4.5,0,Salmon ahumado
PESCADOS GRASOS,Sardinas en aceite,228,24.1,0,13.9,0,Sardinas en aceite
PESCADOS GRASOS,Sardinas en salsa de tomate,177,17.8,0.5,11.6,0,Sardinas en salsa de tomate
